name, prompt
1, "Songoku, super saiyan five"
2, "Songoku, super saiyan five, Demon clothe"
3, "Songoku, super saiyan five"
4, "Songoku, red hair, female"
5, "Songoku, red hair, female"
6, "Songoku, Namek planet background"
7, "Namek planet background"
8, "Demon clothe"
9, "Demon clothe, Namek planet background"
10, "Demon clothe, Namek planet background"
11, "Demon clothe"
12, "Songoku, Namek planet background"
13, "Demon clothe"
14, "super saiyan five, songoku"
15, "super saiyan five, songoku"
16, "super saiyan five, songoku, Demon clothe"
17, "Demon clothe"
18, "super saiyan five, songoku"
19, "Namek planet background, background detailed"
20, "Namek planet background, background detailed"
21, "Namek planet background, background detailed"
22, "super saiyan five, Demon clothe"
23, "Demon clothe"
24, "Demon clothe"
25, "Demon clothe"
26, "Namek planet background"
27, "Super saiyan five, songoku"
28, "Namek planet background"
29, "songoku, Namek planet background"
30, "songoku, Namek planet background, super saiyan five"
31, "Demon clothe"
32, "Namek planet background"
33, "Demon clothe"
34, "songoku, super saiyan five"
35, "Namek planet background"
36, "Songoku, super saiyan five"
37, "detailed background, super saiyan five"
38, "Demon clothe, detailed background"
39, "Demon clothe, detailed background"
40, "Demon clothe, detailed background"
41, "Super saiyan five, detailed background"
42, "Super saiyan five, detailed background"
43, "Super saiyan five, detailed background"
